"BACKLASH UNDEFEATED","58"
"BETRAYED REAR","58"
"CAPER MOTIONS","58"
"CATCH AMISTAD","58"
"CHANCE RESURRECTION","58"
"CONFUSED CANDLES","58"
"CUPBOARD SINNERS","58"
"DIVIDE MONSTER","58"
"DOOM DANCING","58"
"DOORS PRESIDENT","58"
"DRIVER ANNIE","58"
"FEATHERS METAL","58"
"FIRE WOLVES","58"
"HILLS NEIGHBORS","58"
"HOME PITY","58"
"INNOCENT USUAL","58"
"JAWBREAKER BROOKLYN","58"
"LUKE MUMMY","58"
"MAGNOLIA FORRESTER","58"
"MAIDEN HOME","58"
"MAKER GABLES","58"
"MILLION ACE","58"
"MOURNING PURPLE","58"
"NUTS TIES","58"
"OKLAHOMA JUMANJI","58"
"OPERATION OPERATION","58"
"PRINCESS GIANT","58"
"RESERVOIR ADAPTATION","58"
"SABRINA MIDNIGHT","58"
"SINNERS ATLANTIS","58"
"STREETCAR INTENTIONS","58"
"SUBMARINE BED","58"
"BOULEVARD MOB","92"
"BRAVEHEART HUMAN","92"
"BUCKET BROTHERHOOD","92"
"BUGSY SONG","92"
"CASABLANCA SUPER","92"
"CHARADE DUFFEL","92"
"DANGEROUS UPTOWN","92"
"DEVIL DESIRE","92"
"FRISCO FORREST","92"
"GRINCH MASSAGE","92"
"HOURS RAGE","92"
"HURRICANE AFFAIR","92"
"IMAGE PRINCESS","92"
"ISHTAR ROCKETEER","92"
"LABYRINTH LEAGUE","92"
"LEAGUE HELLFIGHTERS","92"
"MADIGAN DORADO","92"
"MADNESS ATTACKS","92"
"MAGIC MALLRATS","92"
"MAKER GABLES","92"
"MASSAGE IMAGE","92"
"MEMENTO ZOOLANDER","92"
"NECKLACE OUTBREAK","92"
"PATHS CONTROL","92"
"PLUTO OLEANDER","92"
"PRIVATE DROP","92"
"RAIDERS ANTITRUST","92"
"REUNION WITCHES","92"
"SKY MIRACLE","92"
"SPEAKEASY DATE","92"
"STAGECOACH ARMAGEDDON","92"
"TIES HUNGER","92"
"USUAL UNTOUCHABLES","92"
"WORST BANGER","92"
"APOLLO TEEN","182"
"CLUB GRAFFITI","182"
"FAMILY SWEET","182"
"FLINTSTONES HAPPINESS","182"
"GALAXY SWEETHEARTS","182"
"GLORY TRACY","182"
"HALF OUTFIELD","182"
"HEDWIG ALTER","182"
"HOLIDAY GAMES","182"
"HOUSE DYNAMITE","182"
